@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Minimum_1.0 numeric
@attribute Median_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Minimum_2.0 numeric
@attribute Median_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Minimum_4.0 numeric
@attribute Median_4.0 numeric
@attribute class {plant1,plant2,plant3,background}

@data
53.666667,35,79,61,54,57.666667,52.333333,55.666667,57,61.666667,52,61.333333,63,66.666667,50.333333,65.666667,plant1
52.333333,35,73,59,53.333333,58.333333,52.333333,57.666667,57.333333,63.333333,52.333333,62.333333,64,68,52,68,plant1
68.333333,36,51,74,68.333333,65.333333,56.333333,64.333333,65.333333,62.333333,41.666667,63,63.333333,62.333333,37.666667,63.333333,plant1
68.333333,36,51,74,68.333333,66.333333,56.666667,68.333333,67,65,54.666667,63,64,63,40.666667,63,plant1
63.666667,37,61,70,63.666667,63,54.666667,62.333333,63.666667,64,54.666667,63.333333,63.666667,63,41.333333,63.333333,plant1
59.666667,37,65,66,59.666667,60.666667,54.666667,61.666667,60.666667,61.666667,53.333333,61.666667,61.666667,62.666667,42.333333,63.333333,plant1
62.666667,40,66,69,62.666667,60.333333,53.333333,61.666667,61,59.666667,44.333333,59.666667,60.666667,61.666667,42.333333,63.333333,plant1
63,38,69,70,63,61.333333,49.333333,62.666667,61.666667,59.666667,43,61.666667,61,61.666667,42.333333,61.333333,plant1
62.666667,40,66,69,62.666667,62,49.333333,63,62,61.333333,43,63,61.666667,62,42.333333,62.666667,plant1
64.666667,40,64,71,64.666667,63.333333,49.333333,64.666667,63.666667,62.333333,43,63,63,63.666667,42.333333,64.333333,plant1
67,38,65,74,66.666667,63.333333,51.666667,64.666667,64.333333,63.333333,49.333333,64.333333,64.333333,65,43,65,plant1
61.666667,35,70,69,61.666667,64,52.666667,65,63.333333,64.333333,51.666667,64.666667,64.666667,65.666667,43,66,plant1
65,35,63,72,65,63.666667,52.666667,64.666667,64,64.666667,52,64.666667,65.333333,66.666667,49.333333,66,plant1
64.666667,37,61,71,64.666667,63.333333,52.333333,64.666667,64,64,52,62.333333,65.333333,68,51.333333,68,plant1
62,32,62,69,62,62.666667,52.333333,62,62.666667,64.333333,52.333333,63.333333,65.666667,68.666667,52,70,plant1
74.333333,36,47,80,74.333333,70.333333,63.666667,69.333333,71.333333,67.333333,56.666667,68.333333,66.333333,64.333333,41.666667,64,plant1
69.333333,36,51,75,69.333333,67,58.333333,68.333333,67.333333,65.666667,54.666667,63.666667,65.333333,65,41.666667,64,plant1
62.333333,36,56,68,62.333333,63,58,63.333333,63,63.333333,54.666667,63.666667,64,65,44.333333,64,plant1
63.666667,37,61,70,63.666667,62.666667,58,62.666667,62.666667,62.666667,53.333333,62.666667,63,64,42.333333,64.666667,plant1
68.666667,37,57,75,68.666667,65,58,63.666667,65.666667,63.666667,49.333333,63.666667,63.666667,63.333333,42.333333,63.666667,plant1
71.666667,37,55,78,71.333333,68,62.666667,68.666667,68.666667,65.666667,49.333333,65.333333,65.666667,64,42.333333,64.333333,plant1
72.666667,37,54,79,72.666667,69.666667,62.666667,71.666667,70.333333,67.666667,49.333333,69.666667,67.333333,65.666667,43,65.666667,plant1
73,37,51,79,73,70,61.666667,72.666667,70.666667,68.666667,51.666667,71.666667,68.666667,67.333333,43,68.666667,plant1
69.666667,37,57,76,69.666667,71,61.666667,73,70.666667,70,52.666667,73,69.333333,68.333333,49.333333,70.666667,plant1
74.333333,36,47,80,74.333333,71.333333,61.666667,74.333333,72,70,52.666667,73,69.666667,68.666667,51.333333,71,plant1
74.666667,36,44,80,74.666667,71.666667,62,74.333333,72.333333,69.333333,52.333333,71.666667,69.666667,69.333333,52,71.666667,plant1
75.333333,36,47,81,75.333333,73.333333,69.333333,74.333333,73.333333,69.333333,57.666667,69.333333,68.333333,65.333333,41.666667,64.666667,plant1
69.333333,36,51,75,69.333333,68.333333,57.666667,69.333333,68.333333,67.333333,55.666667,69.333333,67.333333,66.333333,51.333333,66.333333,plant1
58.333333,36,59,64,59.333333,62.333333,55.666667,62.333333,62.333333,65,55.666667,63.666667,65,66.333333,53.333333,67.666667,plant1
58,37,63,64,58,61.333333,55.666667,62.333333,61,64.333333,55.666667,63.666667,64.333333,66.333333,44.333333,67.333333,plant1
65,37,57,71,65,66,55.666667,65.333333,66,66,55.666667,65,66,66,43,66.666667,plant1
70.666667,37,56,77,70.666667,71,65,71.666667,70.666667,69,55.666667,70.666667,68,66.333333,43,66.666667,plant1
73,37,51,79,73,73.333333,70.666667,73,73,72,62.666667,73,70.666667,67.666667,43,68.333333,plant1
73.333333,36,48,79,73.333333,74.666667,69.666667,73.333333,74.333333,73.666667,61.666667,73.333333,72.333333,69,49.333333,71.666667,plant1
76.333333,36,46,82,76.333333,76,69.666667,76,76,75,61.666667,76,73.333333,70,51.666667,73,plant1
78.333333,39,39,83,78.333333,77,69.666667,78.333333,77.333333,75,61.666667,76.333333,74,71,52,73.333333,plant1
79,42,36,83,79,77,71.666667,77.333333,77,74.666667,62,76.333333,73.666667,71.333333,52,74,plant1
69.333333,36,51,75,69.333333,68.333333,57.666667,69.333333,68.333333,68.333333,55.666667,69.333333,67.666667,67.333333,54.666667,68,plant1
57.666667,36,56,63,58.666667,62.333333,55.666667,58.666667,61.666667,65.666667,55.666667,65.333333,65.666667,67.333333,54.666667,69,plant1
55.666667,36,58,61,56.666667,60.666667,55.666667,58.666667,60.333333,65.333333,55.666667,65.333333,65.333333,67.333333,51.333333,69,plant1
65.333333,36,53,71,65.333333,65.333333,55.666667,65.333333,65.333333,66.666667,55.666667,66.666667,66.666667,67.333333,48.666667,68,plant1
