@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute 'Kuwahara_19_ 10_0' numeric
@attribute 'Kuwahara_19_ 10_1' numeric
@attribute 'Kuwahara_19_ 10_2' numeric
@attribute Sobel_filter_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Median_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Median_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Median_4.0 numeric
@attribute class {plant1,plant2,plant3,background}

@data
66.666667,49,65,74,61.666667,61.666667,61.666667,1,66.666667,2,60.333333,66.666667,64.333333,63.666667,6.666667,54.666667,66.666667,61,60.666667,6.666667,50.333333,66.666667,58.666667,plant1
63.666667,49,68,71,60.333333,60.333333,60.333333,24.333333,63.666667,23,57.666667,66.666667,64.333333,63,15.666667,55.666667,66.666667,63.666667,61.333333,6.666667,51.333333,66.666667,59,plant1
60.333333,51,71,68,60.333333,60.333333,60.333333,28.333333,60.333333,27,57.333333,65,61,61,19,55.666667,66.666667,61.666667,61,7.666667,52,66.666667,59,plant1
59,47,62,65,58,58,58,24.333333,59,22.666667,57.333333,65,59.333333,60,15,55.666667,66.666667,59.666667,59.666667,7,47.666667,66.666667,59.333333,plant1
57,46,75,64,60,60,60,17.333333,57,16.666667,56.666667,62.666667,58,58.333333,14.666667,52.666667,64.666667,58,58.333333,10,50.333333,68.333333,58,plant1
61,49,67,68,60.666667,60.666667,60.666667,8,61,7.666667,55.666667,62.666667,57.666667,59.333333,6,53.666667,63.666667,57.666667,58.333333,5,50.333333,68.333333,58.666667,plant1
57.333333,47,71,64,60.333333,60.333333,60.333333,16.333333,57.333333,14.666667,54.666667,62.666667,57.666667,58.333333,6.666667,52.666667,62.666667,58.666667,58.333333,2,50.333333,66.666667,58.666667,plant1
57.333333,47,71,64,59.333333,59.333333,59.333333,18.333333,57.333333,16.666667,54.666667,60.666667,58.666667,58.333333,9.333333,52.666667,64.666667,58.666667,58.333333,2.666667,50.333333,66.666667,58,plant1
60.666667,49,71,68,59.333333,59.333333,59.333333,19.666667,60.666667,18.333333,54.666667,64.666667,59.666667,59.666667,12,52.666667,66.666667,58.666667,58.666667,4.666667,50.333333,66.666667,57.666667,plant1
63.666667,49,68,71,59.333333,59.333333,59.666667,29.666667,63.666667,27.333333,55.666667,66.666667,60.666667,61.666667,17,53.666667,66.666667,59.666667,59.333333,6.333333,50.333333,66.666667,57.666667,plant1
64.333333,47,64,71,59.666667,59.666667,59.666667,38.666667,64.333333,36.333333,55.666667,66.666667,63.666667,61.666667,23.666667,53.666667,66.666667,60.333333,59.666667,9,51.333333,66.666667,57.666667,plant1
61,49,67,68,59,59,59,34.666667,61,33,55.666667,66.666667,60.333333,60.333333,23.666667,53.666667,66.666667,60.333333,59.666667,10.666667,53.666667,66.666667,59,plant1
